cid,cname,O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,PctVotes
112,DHAKUAKHANA,3,JUTIKA DOLEY,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),266,0,266,0.72
112,DHAKUAKHANA,4,LALIT PEGU,Voters Party  International,512,0,512,1.38
112,DHAKUAKHANA,5,SATYAJIT REGAN,Assam Jatiya Parishad,1082,0,1082,2.93
112,DHAKUAKHANA,6,NOTA,None of the Above,438,0,438,1.18
113,DHEMAJI,1,Ranoj Pegu,Bharatiya Janata Party,33975,0,33975,49.22
113,DHEMAJI,2,Sailen Sonowal,Indian National Congress,19584,0,19584,28.37
113,DHEMAJI,3,Chittaranjan Basumatary,Assam Jatiya Parishad,13844,0,13844,20.05
113,DHEMAJI,4,Hem Kanta Miri,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),351,0,351,0.51
113,DHEMAJI,5,Ayub Khang Brahma,Independent,661,0,661,0.96
113,DHEMAJI,6,NOTA,None of the Above,617,0,617,0.89
114,JONAI,1,BHUBAN PEGU,Bharatiya Janata Party,42334,0,42334,69.94
114,JONAI,2,HEMA HARI PRASANNA PEGU,Indian National Congress,14558,0,14558,24.05
114,JONAI,3,PHANIRAM TAYENG,Assam Jatiya Parishad,1161,0,1161,1.92
114,JONAI,4,BHAGYA CHUNGKRANG,Janata Dal  (United),301,0,301,0.5
114,JONAI,5,BHABANI BORO,Independent,346,0,346,0.57
114,JONAI,6,MADHAB MACHAHARY,Independent,1011,0,1011,1.67
114,JONAI,7,NOTA,None of the Above,820,0,820,1.35
115,MORAN,1,CHAKRADHAR GOGOI,Bharatiya Janata Party,54970,634,55604,49.68
115,MORAN,2,PRANJAL GHATOWAR,Indian National Congress,33051,212,33263,29.72
115,MORAN,3,SANJIB CHANGMAI,Assam Jatiya Parishad,9359,140,9499,8.49
115,MORAN,4,ELIASH SICHAN,Independent,507,11,518,0.46
115,MORAN,5,MOHINI MOHAN LIGIRA,Independent,8763,71,8834,7.89
115,MORAN,6,RAPHAEL KUJUR,Independent,2276,17,2293,2.05
115,MORAN,7,NOTA,None of the Above,1895,15,1910,1.71
116,DIBRUGARH,1,PRASANTA PHUKAN,Bharatiya Janata Party,68029,733,68762,60.43
116,DIBRUGARH,2,RAJKUMAR NILANETRA NEOG,Indian National Congress,30512,245,30757,27.03
116,DIBRUGARH,3,AJIT BORGOHAIN,Assam Jatiya Parishad,10971,91,11062,9.72
116,DIBRUGARH,4,SYED MAHSHINUR RAHMAN,Asom Songrami Mancha(Asom),596,5,601,0.53
116,DIBRUGARH,5,KAMAL HAZARIKA,Independent,750,5,755,0.66
116,DIBRUGARH,6,NOTA,None of the Above,1834,11,1845,1.62
117,LAHOWAL,1,BINOD HAZARIKA,Bharatiya Janata Party,58337,0,58337,48.08
117,LAHOWAL,2,MANOJ DHANOWAR,Indian National Congress,41527,0,41527,34.22
117,LAHOWAL,3,PRANAB SAIKIA,Rashtriya Lok Samta Party,1207,0,1207,0.99
117,LAHOWAL,4,LIKHON BORUAH,Assam Jatiya Parishad,10465,0,10465,8.62
117,LAHOWAL,5,DIBYAJIT  DUTTA,Independent,5525,0,5525,4.55
117,LAHOWAL,6,PROBHU LAL VAISHNAVA,Independent,1359,0,1359,1.12
117,LAHOWAL,7,NOTA,None of the Above,2923,0,2923,2.41
118,DULIAJAN,1,TERASH GOWALA,Bharatiya Janata Party,54376,386,54762,42.35
118,DULIAJAN,2,DHRUBAJYOTI GOGOI,Indian National Congress,46392,260,46652,36.08
118,DULIAJAN,3,MADHAB DAS,Lok Jan Shakti Party,1505,13,1518,1.17
118,DULIAJAN,4,LURINJYOTI GOGOI,Assam Jatiya Parishad,24027,165,24192,18.71
118,DULIAJAN,5,NOTA,None of the Above,2191,2,2193,1.7
119,TINGKHONG,1,Etuwa Munda,Indian National Congress,34162,119,34281,28.8
119,TINGKHONG,2,Bimal Borah,Bharatiya Janata Party,62118,557,62675,52.66
119,TINGKHONG,3,Subhakaran Konhain,Assam Jatiya Parishad,16618,72,16690,14.02
119,TINGKHONG,4,Bikash Kullu,Independent,3432,13,3445,2.89
119,TINGKHONG,5,NOTA,None of the Above,1921,7,1928,1.62
120,NAHARKATIA,1,TARANGA GOGOI,Bharatiya Janata Party,46999,269,47268,42.57
120,NAHARKATIA,2,NAREN SONOWAL (BOTALI),Asom Gana Parishad,4058,36,4094,3.69
120,NAHARKATIA,3,PRANATI PHUKAN,Indian National Congress,32169,123,32292,29.08
120,NAHARKATIA,4,LURINJYOTI GOGOI,Assam Jatiya Parishad,25093,139,25232,22.72
120,NAHARKATIA,5,TANU KUMAR DHADUMIA,Independent,694,2,696,0.63
120,NAHARKATIA,6,NOTA,None of the Above,1452,2,1454,1.31
121,CHABUA,1,AJOY PHUKAN,Indian National Congress,34673,151,34824,26.92
121,CHABUA,2,PONAKAN BARUAH,Asom Gana Parishad,53205,349,53554,41.4
121,CHABUA,3,ANANTA HAZARIKA,Lok Jan Shakti Party,2437,26,2463,1.9
121,CHABUA,4,PRAKASH TANTI,Rashtriya Lok Samta Party,2732,29,2761,2.13
121,CHABUA,5,PRIYANKA NEOG,Independent,16641,59,16700,12.91
121,CHABUA,6,BHABEN BARUAH,Independent,11736,57,11793,9.12
121,CHABUA,7,LAWRANCE NAG,Independent,3915,11,3926,3.04
121,CHABUA,8,NOTA,None of the Above,3325,7,3332,2.58
122,TINSUKIA,1,RABIN CHANDRA KACHARI,Nationalist Congress Party,1313,7,1320,1.01
122,TINSUKIA,2,SANJOY KISHAN,Bharatiya Janata Party,85320,537,85857,65.58
122,TINSUKIA,3,ALOK ROY,Janata Dal  (United),1175,13,1188,0.91
122,TINSUKIA,4,SHAMSHER SINGH,Assam Jatiya Parishad,14915,145,15060,11.5
122,TINSUKIA,5,CHINTU BARUAH,Lok Jan Shakti Party,757,11,768,0.59
122,TINSUKIA,6,PROBIN KUMAR HAZARIKA,Rashtriya Lok Samta Party,1066,15,1081,0.83
122,TINSUKIA,7,BUDHI NATH PRAJAPATI,Political Justice Party,2902,8,2910,2.22
122,TINSUKIA,8,SWAPAN PAUL,Bharatiya Gana Parishad,840,10,850,0.65
122,TINSUKIA,9,HIRA DEVI,Rashtriya Janata Dal,13283,38,13321,10.17
